NFECHA,IDX,TheYear,TheDate,DEPARTAMENTO,CANT
01 Ene,101,2017,2017-01-01,PIURA,7
01 Ene,101,2017,2017-01-01,CUSCO,13
01 Ene,101,2017,2017-01-01,ANCASH,11
01 Ene,101,2017,2017-01-01,CALLAO,13
01 Ene,101,2017,2017-01-01,APURIMAC,4
01 Ene,101,2017,2017-01-01,JUNIN,7
01 Ene,101,2017,2017-01-01,HUANUCO,8
01 Ene,101,2017,2017-01-01,ICA,8
01 Ene,101,2017,2017-01-01,LIMA,76
01 Ene,101,2017,2017-01-01,UCAYALI,7
01 Ene,101,2017,2017-01-01,HUANCAVELICA,2
01 Ene,101,2017,2017-01-01,MOQUEGUA,2
01 Ene,101,2017,2017-01-01,LAMBAYEQUE,20
01 Ene,101,2017,2017-01-01,AREQUIPA,20
01 Ene,101,2017,2017-01-01,AYACUCHO,4
01 Ene,101,2017,2017-01-01,MADRE DE DIOS,1
01 Ene,101,2017,2017-01-01,SAN MARTIN,2
01 Ene,101,2017,2017-01-01,CAJAMARCA,9
01 Ene,101,2017,2017-01-01,PASCO,1
01 Ene,101,2017,2017-01-01,AMAZONAS,2
01 Ene,101,2017,2017-01-01,PUNO,14
01 Ene,101,2017,2017-01-01,LA LIBERTAD,23
01 Ene,101,2017,2017-01-01,TUMBES,3
01 Ene,101,2017,2017-01-01,TACNA,4
01 Ene,101,2017,2017-01-01,LORETO,9
01 Ene,101,2018,2018-01-01,CALLAO,14
01 Ene,101,2018,2018-01-01,SAN MARTIN,11
01 Ene,101,2018,2018-01-01,APURIMAC,3
01 Ene,101,2018,2018-01-01,AREQUIPA,9
01 Ene,101,2018,2018-01-01,AYACUCHO,14
01 Ene,101,2018,2018-01-01,AMAZONAS,1
01 Ene,101,2018,2018-01-01,LA LIBERTAD,15
01 Ene,101,2018,2018-01-01,HUANUCO,10
01 Ene,101,2018,2018-01-01,ICA,11
01 Ene,101,2018,2018-01-01,JUNIN,15
01 Ene,101,2018,2018-01-01,ANCASH,16
01 Ene,101,2018,2018-01-01,CUSCO,20
01 Ene,101,2018,2018-01-01,PUNO,18
01 Ene,101,2018,2018-01-01,TACNA,2
01 Ene,101,2018,2018-01-01,TUMBES,3
01 Ene,101,2018,2018-01-01,LAMBAYEQUE,16
01 Ene,101,2018,2018-01-01,LORETO,7
01 Ene,101,2018,2018-01-01,PASCO,2
01 Ene,101,2018,2018-01-01,HUANCAVELICA,11
01 Ene,101,2018,2018-01-01,CAJAMARCA,14
01 Ene,101,2018,2018-01-01,MOQUEGUA,5
01 Ene,101,2018,2018-01-01,UCAYALI,8
01 Ene,101,2018,2018-01-01,LIMA,80
01 Ene,101,2018,2018-01-01,PIURA,15
01 Ene,101,2018,2018-01-01,MADRE DE DIOS,2
01 Ene,101,2019,2019-01-01,LA LIBERTAD,26
01 Ene,101,2019,2019-01-01,AMAZONAS,4
01 Ene,101,2019,2019-01-01,LORETO,6
01 Ene,101,2019,2019-01-01,PASCO,4
01 Ene,101,2019,2019-01-01,TUMBES,6
01 Ene,101,2019,2019-01-01,CAJAMARCA,9
01 Ene,101,2019,2019-01-01,TACNA,3
01 Ene,101,2019,2019-01-01,SAN MARTIN,7
01 Ene,101,2019,2019-01-01,PUNO,16
01 Ene,101,2019,2019-01-01,UCAYALI,4
01 Ene,101,2019,2019-01-01,ANCASH,19
01 Ene,101,2019,2019-01-01,ICA,16
01 Ene,101,2019,2019-01-01,PIURA,19
01 Ene,101,2019,2019-01-01,CALLAO,16
01 Ene,101,2019,2019-01-01,LAMBAYEQUE,1
01 Ene,101,2019,2019-01-01,JUNIN,20
01 Ene,101,2019,2019-01-01,LIMA,89
01 Ene,101,2019,2019-01-01,APURIMAC,6
01 Ene,101,2019,2019-01-01,HUANUCO,16
01 Ene,101,2019,2019-01-01,AYACUCHO,10
01 Ene,101,2019,2019-01-01,HUANCAVELICA,3
01 Ene,101,2019,2019-01-01,AREQUIPA,22
01 Ene,101,2019,2019-01-01,MOQUEGUA,5
01 Ene,101,2019,2019-01-01,CUSCO,18
01 Ene,101,2020,2020-01-01,TACNA,4
01 Ene,101,2020,2020-01-01,TUMBES,4
01 Ene,101,2020,2020-01-01,PUNO,18
01 Ene,101,2020,2020-01-01,CAJAMARCA,15
01 Ene,101,2020,2020-01-01,PIURA,9
01 Ene,101,2020,2020-01-01,LORETO,6
01 Ene,101,2020,2020-01-01,LAMBAYEQUE,3
01 Ene,101,2020,2020-01-01,CALLAO,13
01 Ene,101,2020,2020-01-01,LIMA,123
01 Ene,101,2020,2020-01-01,PASCO,2
01 Ene,101,2020,2020-01-01,HUANCAVELICA,9
01 Ene,101,2020,2020-01-01,MOQUEGUA,1
01 Ene,101,2020,2020-01-01,EXTRANJERO,2
01 Ene,101,2020,2020-01-01,MADRE DE DIOS,2
01 Ene,101,2020,2020-01-01,AREQUIPA,17
01 Ene,101,2020,2020-01-01,AYACUCHO,7
01 Ene,101,2020,2020-01-01,AMAZONAS,5
01 Ene,101,2020,2020-01-01,CUSCO,24
01 Ene,101,2020,2020-01-01,UCAYALI,9
01 Ene,101,2020,2020-01-01,APURIMAC,3
01 Ene,101,2020,2020-01-01,HUANUCO,11
01 Ene,101,2020,2020-01-01,ICA,11
01 Ene,101,2020,2020-01-01,JUNIN,21
01 Ene,101,2020,2020-01-01,SAN MARTIN,14
01 Ene,101,2020,2020-01-01,ANCASH,22
01 Ene,101,2020,2020-01-01,LA LIBERTAD,23
01 Ene,101,2021,2021-01-01,LA LIBERTAD,31
01 Ene,101,2021,2021-01-01,TACNA,8
01 Ene,101,2021,2021-01-01,LIMA,185
01 Ene,101,2021,2021-01-01,AMAZONAS,3
01 Ene,101,2021,2021-01-01,MADRE DE DIOS,4
01 Ene,101,2021,2021-01-01,CAJAMARCA,14
01 Ene,101,2021,2021-01-01,TUMBES,2
01 Ene,101,2021,2021-01-01,JUNIN,26
01 Ene,101,2021,2021-01-01,ICA,13
01 Ene,101,2021,2021-01-01,SAN MARTIN,11
01 Ene,101,2021,2021-01-01,PUNO,19
01 Ene,101,2021,2021-01-01,HUANUCO,9
01 Ene,101,2021,2021-01-01,LORETO,13
01 Ene,101,2021,2021-01-01,PASCO,5
01 Ene,101,2021,2021-01-01,UCAYALI,5
01 Ene,101,2021,2021-01-01,PIURA,39
01 Ene,101,2021,2021-01-01,APURIMAC,9
01 Ene,101,2021,2021-01-01,CUSCO,18
01 Ene,101,2021,2021-01-01,AYACUCHO,7
01 Ene,101,2021,2021-01-01,CALLAO,12
01 Ene,101,2021,2021-01-01,LAMBAYEQUE,10
01 Ene,101,2021,2021-01-01,ANCASH,19
01 Ene,101,2021,2021-01-01,MOQUEGUA,8
01 Ene,101,2021,2021-01-01,HUANCAVELICA,8
01 Ene,101,2021,2021-01-01,AREQUIPA,35
02 Ene,102,2017,2017-01-02,SAN MARTIN,4
02 Ene,102,2017,2017-01-02,JUNIN,8
02 Ene,102,2017,2017-01-02,HUANUCO,7
02 Ene,102,2017,2017-01-02,LIMA,59
02 Ene,102,2017,2017-01-02,PIURA,4
02 Ene,102,2017,2017-01-02,CALLAO,10
02 Ene,102,2017,2017-01-02,PUNO,12
02 Ene,102,2017,2017-01-02,TUMBES,2
02 Ene,102,2017,2017-01-02,ANCASH,13
02 Ene,102,2017,2017-01-02,CAJAMARCA,3
02 Ene,102,2017,2017-01-02,MADRE DE DIOS,3
02 Ene,102,2017,2017-01-02,ICA,10
02 Ene,102,2017,2017-01-02,PASCO,2
02 Ene,102,2017,2017-01-02,TACNA,4
02 Ene,102,2017,2017-01-02,LORETO,4
02 Ene,102,2017,2017-01-02,AMAZONAS,1
02 Ene,102,2017,2017-01-02,LA LIBERTAD,19
02 Ene,102,2017,2017-01-02,UCAYALI,6
02 Ene,102,2017,2017-01-02,AYACUCHO,4
02 Ene,102,2017,2017-01-02,CUSCO,14
02 Ene,102,2017,2017-01-02,AREQUIPA,13
02 Ene,102,2017,2017-01-02,LAMBAYEQUE,25
02 Ene,102,2017,2017-01-02,MOQUEGUA,3
02 Ene,102,2017,2017-01-02,APURIMAC,6
02 Ene,102,2017,2017-01-02,HUANCAVELICA,2
02 Ene,102,2018,2018-01-02,LIMA,68
02 Ene,102,2018,2018-01-02,APURIMAC,2
02 Ene,102,2018,2018-01-02,AMAZONAS,2
02 Ene,102,2018,2018-01-02,CUSCO,19
02 Ene,102,2018,2018-01-02,AREQUIPA,12
02 Ene,102,2018,2018-01-02,ANCASH,13
02 Ene,102,2018,2018-01-02,AYACUCHO,3
02 Ene,102,2018,2018-01-02,PIURA,19
02 Ene,102,2018,2018-01-02,CALLAO,10
02 Ene,102,2018,2018-01-02,LORETO,7
02 Ene,102,2018,2018-01-02,SAN MARTIN,10
02 Ene,102,2018,2018-01-02,PASCO,2
02 Ene,102,2018,2018-01-02,HUANCAVELICA,3
02 Ene,102,2018,2018-01-02,LAMBAYEQUE,18
02 Ene,102,2018,2018-01-02,MOQUEGUA,4
02 Ene,102,2018,2018-01-02,TACNA,4
02 Ene,102,2018,2018-01-02,CAJAMARCA,11
02 Ene,102,2018,2018-01-02,UCAYALI,5
02 Ene,102,2018,2018-01-02,ICA,13
02 Ene,102,2018,2018-01-02,PUNO,23
02 Ene,102,2018,2018-01-02,JUNIN,18
02 Ene,102,2018,2018-01-02,LA LIBERTAD,17
02 Ene,102,2018,2018-01-02,TUMBES,7
02 Ene,102,2018,2018-01-02,HUANUCO,8
02 Ene,102,2019,2019-01-02,LIMA,94
02 Ene,102,2019,2019-01-02,LA LIBERTAD,22
02 Ene,102,2019,2019-01-02,LAMBAYEQUE,1
02 Ene,102,2019,2019-01-02,UCAYALI,3
02 Ene,102,2019,2019-01-02,APURIMAC,2
02 Ene,102,2019,2019-01-02,HUANCAVELICA,4
02 Ene,102,2019,2019-01-02,MOQUEGUA,3
02 Ene,102,2019,2019-01-02,ANCASH,18
02 Ene,102,2019,2019-01-02,CUSCO,12
02 Ene,102,2019,2019-01-02,AREQUIPA,24
02 Ene,102,2019,2019-01-02,AYACUCHO,7
02 Ene,102,2019,2019-01-02,CALLAO,13
02 Ene,102,2019,2019-01-02,PIURA,15
02 Ene,102,2019,2019-01-02,ICA,15
02 Ene,102,2019,2019-01-02,TUMBES,7
02 Ene,102,2019,2019-01-02,HUANUCO,7
02 Ene,102,2019,2019-01-02,JUNIN,23
02 Ene,102,2019,2019-01-02,SAN MARTIN,5
02 Ene,102,2019,2019-01-02,PUNO,14
02 Ene,102,2019,2019-01-02,PASCO,1
02 Ene,102,2019,2019-01-02,LORETO,8
02 Ene,102,2019,2019-01-02,TACNA,8
02 Ene,102,2019,2019-01-02,MADRE DE DIOS,1
02 Ene,102,2019,2019-01-02,CAJAMARCA,12
02 Ene,102,2020,2020-01-02,TACNA,9
02 Ene,102,2020,2020-01-02,HUANCAVELICA,7
02 Ene,102,2020,2020-01-02,MOQUEGUA,8
02 Ene,102,2020,2020-01-02,LAMBAYEQUE,4
02 Ene,102,2020,2020-01-02,CAJAMARCA,10
02 Ene,102,2020,2020-01-02,UCAYALI,6
02 Ene,102,2020,2020-01-02,PASCO,1
02 Ene,102,2020,2020-01-02,SAN MARTIN,7
02 Ene,102,2020,2020-01-02,LORETO,7
02 Ene,102,2020,2020-01-02,TUMBES,4
02 Ene,102,2020,2020-01-02,JUNIN,15
02 Ene,102,2020,2020-01-02,HUANUCO,9
02 Ene,102,2020,2020-01-02,LA LIBERTAD,26
02 Ene,102,2020,2020-01-02,PUNO,17
02 Ene,102,2020,2020-01-02,ICA,13
02 Ene,102,2020,2020-01-02,APURIMAC,6
02 Ene,102,2020,2020-01-02,AYACUCHO,7
02 Ene,102,2020,2020-01-02,LIMA,90
02 Ene,102,2020,2020-01-02,AREQUIPA,14
02 Ene,102,2020,2020-01-02,AMAZONAS,6
02 Ene,102,2020,2020-01-02,ANCASH,19
02 Ene,102,2020,2020-01-02,CUSCO,23
02 Ene,102,2020,2020-01-02,CALLAO,9
02 Ene,102,2020,2020-01-02,PIURA,13
02 Ene,102,2020,2020-01-02,SIN REGISTRO,1
02 Ene,102,2021,2021-01-02,LA LIBERTAD,30
02 Ene,102,2021,2021-01-02,TACNA,3
02 Ene,102,2021,2021-01-02,AYACUCHO,12
02 Ene,102,2021,2021-01-02,CALLAO,16
02 Ene,102,2021,2021-01-02,SIN REGISTRO,1
02 Ene,102,2021,2021-01-02,AREQUIPA,34
02 Ene,102,2021,2021-01-02,ICA,16
02 Ene,102,2021,2021-01-02,APURIMAC,10
02 Ene,102,2021,2021-01-02,CUSCO,12
02 Ene,102,2021,2021-01-02,TUMBES,4
02 Ene,102,2021,2021-01-02,ANCASH,20
02 Ene,102,2021,2021-01-02,HUANUCO,10
02 Ene,102,2021,2021-01-02,JUNIN,18
02 Ene,102,2021,2021-01-02,UCAYALI,1
02 Ene,102,2021,2021-01-02,HUANCAVELICA,9
02 Ene,102,2021,2021-01-02,PUNO,27
02 Ene,102,2021,2021-01-02,LORETO,13
02 Ene,102,2021,2021-01-02,PASCO,6
02 Ene,102,2021,2021-01-02,SAN MARTIN,15
02 Ene,102,2021,2021-01-02,CAJAMARCA,14
02 Ene,102,2021,2021-01-02,MOQUEGUA,3
02 Ene,102,2021,2021-01-02,LAMBAYEQUE,11
02 Ene,102,2021,2021-01-02,AMAZONAS,3
02 Ene,102,2021,2021-01-02,EXTRANJERO,1
02 Ene,102,2021,2021-01-02,LIMA,209
02 Ene,102,2021,2021-01-02,MADRE DE DIOS,3
02 Ene,102,2021,2021-01-02,PIURA,39
03 Ene,103,2017,2017-01-03,PUNO,10
03 Ene,103,2017,2017-01-03,PASCO,1
03 Ene,103,2017,2017-01-03,ICA,7
03 Ene,103,2017,2017-01-03,HUANUCO,6
03 Ene,103,2017,2017-01-03,TUMBES,3
03 Ene,103,2017,2017-01-03,JUNIN,9
03 Ene,103,2017,2017-01-03,LORETO,5
03 Ene,103,2017,2017-01-03,AYACUCHO,2
03 Ene,103,2017,2017-01-03,AREQUIPA,18
03 Ene,103,2017,2017-01-03,SAN MARTIN,2
03 Ene,103,2017,2017-01-03,MOQUEGUA,2
03 Ene,103,2017,2017-01-03,ANCASH,9
03 Ene,103,2017,2017-01-03,UCAYALI,3
03 Ene,103,2017,2017-01-03,CUSCO,7
03 Ene,103,2017,2017-01-03,APURIMAC,3
03 Ene,103,2017,2017-01-03,LAMBAYEQUE,21
03 Ene,103,2017,2017-01-03,HUANCAVELICA,4
03 Ene,103,2017,2017-01-03,SIN REGISTRO,1
03 Ene,103,2017,2017-01-03,LA LIBERTAD,24
03 Ene,103,2017,2017-01-03,CALLAO,6
03 Ene,103,2017,2017-01-03,LIMA,59
03 Ene,103,2017,2017-01-03,PIURA,5
03 Ene,103,2017,2017-01-03,TACNA,5
03 Ene,103,2017,2017-01-03,MADRE DE DIOS,2
03 Ene,103,2017,2017-01-03,EXTRANJERO,1
03 Ene,103,2017,2017-01-03,CAJAMARCA,2
03 Ene,103,2017,2017-01-03,AMAZONAS,3
03 Ene,103,2018,2018-01-03,AMAZONAS,1
03 Ene,103,2018,2018-01-03,ANCASH,20
03 Ene,103,2018,2018-01-03,AREQUIPA,10
03 Ene,103,2018,2018-01-03,CUSCO,21
03 Ene,103,2018,2018-01-03,LA LIBERTAD,18
03 Ene,103,2018,2018-01-03,LIMA,74
03 Ene,103,2018,2018-01-03,PIURA,12
03 Ene,103,2018,2018-01-03,CALLAO,10
03 Ene,103,2018,2018-01-03,APURIMAC,4
03 Ene,103,2018,2018-01-03,ICA,7
03 Ene,103,2018,2018-01-03,PUNO,14
03 Ene,103,2018,2018-01-03,HUANUCO,6
03 Ene,103,2018,2018-01-03,JUNIN,12
03 Ene,103,2018,2018-01-03,LORETO,5
03 Ene,103,2018,2018-01-03,TUMBES,6
03 Ene,103,2018,2018-01-03,SAN MARTIN,7
03 Ene,103,2018,2018-01-03,LAMBAYEQUE,13
03 Ene,103,2018,2018-01-03,CAJAMARCA,11
03 Ene,103,2018,2018-01-03,HUANCAVELICA,8
03 Ene,103,2018,2018-01-03,MOQUEGUA,1
03 Ene,103,2018,2018-01-03,TACNA,2
03 Ene,103,2018,2018-01-03,SIN REGISTRO,1
03 Ene,103,2018,2018-01-03,AYACUCHO,4
03 Ene,103,2018,2018-01-03,UCAYALI,4
03 Ene,103,2019,2019-01-03,AYACUCHO,8
03 Ene,103,2019,2019-01-03,LA LIBERTAD,38
03 Ene,103,2019,2019-01-03,PIURA,12
03 Ene,103,2019,2019-01-03,MADRE DE DIOS,4
03 Ene,103,2019,2019-01-03,AMAZONAS,1
03 Ene,103,2019,2019-01-03,CAJAMARCA,8
03 Ene,103,2019,2019-01-03,LIMA,86
03 Ene,103,2019,2019-01-03,CALLAO,11
03 Ene,103,2019,2019-01-03,TACNA,4
03 Ene,103,2019,2019-01-03,TUMBES,1
03 Ene,103,2019,2019-01-03,JUNIN,23
03 Ene,103,2019,2019-01-03,EXTRANJERO,2
03 Ene,103,2019,2019-01-03,HUANUCO,14
03 Ene,103,2019,2019-01-03,MOQUEGUA,2
03 Ene,103,2019,2019-01-03,LORETO,8
03 Ene,103,2019,2019-01-03,PASCO,3
03 Ene,103,2019,2019-01-03,SAN MARTIN,7
03 Ene,103,2019,2019-01-03,PUNO,15
03 Ene,103,2019,2019-01-03,UCAYALI,7
03 Ene,103,2019,2019-01-03,ICA,11
03 Ene,103,2019,2019-01-03,CUSCO,24
03 Ene,103,2019,2019-01-03,AREQUIPA,10
03 Ene,103,2019,2019-01-03,HUANCAVELICA,5
03 Ene,103,2019,2019-01-03,APURIMAC,6
03 Ene,103,2019,2019-01-03,ANCASH,17
03 Ene,103,2020,2020-01-03,HUANCAVELICA,5
03 Ene,103,2020,2020-01-03,CAJAMARCA,8
03 Ene,103,2020,2020-01-03,HUANUCO,7
03 Ene,103,2020,2020-01-03,JUNIN,20
03 Ene,103,2020,2020-01-03,EXTRANJERO,1
03 Ene,103,2020,2020-01-03,TACNA,5
03 Ene,103,2020,2020-01-03,MADRE DE DIOS,2
03 Ene,103,2020,2020-01-03,MOQUEGUA,2
03 Ene,103,2020,2020-01-03,SIN REGISTRO,1
03 Ene,103,2020,2020-01-03,AYACUCHO,3
03 Ene,103,2020,2020-01-03,AREQUIPA,21
03 Ene,103,2020,2020-01-03,LAMBAYEQUE,5
03 Ene,103,2020,2020-01-03,ANCASH,14
03 Ene,103,2020,2020-01-03,APURIMAC,4
03 Ene,103,2020,2020-01-03,ICA,8
03 Ene,103,2020,2020-01-03,AMAZONAS,2
03 Ene,103,2020,2020-01-03,UCAYALI,3
03 Ene,103,2020,2020-01-03,CUSCO,14
03 Ene,103,2020,2020-01-03,LIMA,124
03 Ene,103,2020,2020-01-03,PIURA,17
03 Ene,103,2020,2020-01-03,CALLAO,11
03 Ene,103,2020,2020-01-03,LORETO,4
03 Ene,103,2020,2020-01-03,PASCO,4
03 Ene,103,2020,2020-01-03,TUMBES,2
03 Ene,103,2020,2020-01-03,SAN MARTIN,5
03 Ene,103,2020,2020-01-03,PUNO,12
03 Ene,103,2020,2020-01-03,LA LIBERTAD,20
03 Ene,103,2021,2021-01-03,SIN REGISTRO,1
03 Ene,103,2021,2021-01-03,AMAZONAS,4
03 Ene,103,2021,2021-01-03,AREQUIPA,22
03 Ene,103,2021,2021-01-03,AYACUCHO,9
03 Ene,103,2021,2021-01-03,CUSCO,26
03 Ene,103,2021,2021-01-03,CALLAO,21
03 Ene,103,2021,2021-01-03,MADRE DE DIOS,1
03 Ene,103,2021,2021-01-03,HUANCAVELICA,10
03 Ene,103,2021,2021-01-03,PASCO,1
03 Ene,103,2021,2021-01-03,CAJAMARCA,9
03 Ene,103,2021,2021-01-03,LIMA,179
03 Ene,103,2021,2021-01-03,PIURA,27
03 Ene,103,2021,2021-01-03,LORETO,9
03 Ene,103,2021,2021-01-03,MOQUEGUA,5
03 Ene,103,2021,2021-01-03,PUNO,31
03 Ene,103,2021,2021-01-03,LAMBAYEQUE,8
03 Ene,103,2021,2021-01-03,TUMBES,9
03 Ene,103,2021,2021-01-03,TACNA,5
03 Ene,103,2021,2021-01-03,APURIMAC,8
03 Ene,103,2021,2021-01-03,JUNIN,23
03 Ene,103,2021,2021-01-03,LA LIBERTAD,30
03 Ene,103,2021,2021-01-03,ANCASH,34
03 Ene,103,2021,2021-01-03,SAN MARTIN,11
03 Ene,103,2021,2021-01-03,UCAYALI,7
03 Ene,103,2021,2021-01-03,HUANUCO,17
03 Ene,103,2021,2021-01-03,ICA,16
04 Ene,104,2017,2017-01-04,PUNO,10
04 Ene,104,2017,2017-01-04,LORETO,7
04 Ene,104,2017,2017-01-04,TACNA,3
04 Ene,104,2017,2017-01-04,TUMBES,4
04 Ene,104,2017,2017-01-04,MOQUEGUA,2
04 Ene,104,2017,2017-01-04,UCAYALI,5
04 Ene,104,2017,2017-01-04,LAMBAYEQUE,17
04 Ene,104,2017,2017-01-04,CAJAMARCA,3
04 Ene,104,2017,2017-01-04,PASCO,4
04 Ene,104,2017,2017-01-04,CALLAO,9
04 Ene,104,2017,2017-01-04,MADRE DE DIOS,2
04 Ene,104,2017,2017-01-04,PIURA,8
04 Ene,104,2017,2017-01-04,AMAZONAS,2
04 Ene,104,2017,2017-01-04,LIMA,75
04 Ene,104,2017,2017-01-04,LA LIBERTAD,17
04 Ene,104,2017,2017-01-04,SIN REGISTRO,1
04 Ene,104,2017,2017-01-04,AYACUCHO,2
04 Ene,104,2017,2017-01-04,AREQUIPA,9
04 Ene,104,2017,2017-01-04,JUNIN,6
04 Ene,104,2017,2017-01-04,HUANUCO,5
04 Ene,104,2017,2017-01-04,APURIMAC,7
04 Ene,104,2017,2017-01-04,HUANCAVELICA,4
04 Ene,104,2017,2017-01-04,SAN MARTIN,2
04 Ene,104,2017,2017-01-04,ICA,12
04 Ene,104,2017,2017-01-04,CUSCO,6
04 Ene,104,2017,2017-01-04,ANCASH,7
04 Ene,104,2018,2018-01-04,ANCASH,19
04 Ene,104,2018,2018-01-04,CALLAO,9
04 Ene,104,2018,2018-01-04,CUSCO,27
04 Ene,104,2018,2018-01-04,PIURA,17
04 Ene,104,2018,2018-01-04,LIMA,61
04 Ene,104,2018,2018-01-04,APURIMAC,4
04 Ene,104,2018,2018-01-04,HUANUCO,5
04 Ene,104,2018,2018-01-04,JUNIN,11
04 Ene,104,2018,2018-01-04,ICA,9
04 Ene,104,2018,2018-01-04,LAMBAYEQUE,15
04 Ene,104,2018,2018-01-04,AREQUIPA,9
04 Ene,104,2018,2018-01-04,HUANCAVELICA,4
04 Ene,104,2018,2018-01-04,MOQUEGUA,3
04 Ene,104,2018,2018-01-04,AYACUCHO,4
04 Ene,104,2018,2018-01-04,UCAYALI,4
04 Ene,104,2018,2018-01-04,SIN REGISTRO,1
04 Ene,104,2018,2018-01-04,MADRE DE DIOS,3
04 Ene,104,2018,2018-01-04,EXTRANJERO,1
04 Ene,104,2018,2018-01-04,SAN MARTIN,7
04 Ene,104,2018,2018-01-04,CAJAMARCA,10
04 Ene,104,2018,2018-01-04,LORETO,3
04 Ene,104,2018,2018-01-04,PUNO,15
04 Ene,104,2018,2018-01-04,LA LIBERTAD,20
04 Ene,104,2018,2018-01-04,AMAZONAS,1
04 Ene,104,2018,2018-01-04,PASCO,2
04 Ene,104,2018,2018-01-04,TUMBES,2
04 Ene,104,2018,2018-01-04,TACNA,2
04 Ene,104,2019,2019-01-04,PIURA,15
04 Ene,104,2019,2019-01-04,APURIMAC,6
04 Ene,104,2019,2019-01-04,AYACUCHO,9
04 Ene,104,2019,2019-01-04,AREQUIPA,12
04 Ene,104,2019,2019-01-04,AMAZONAS,1
04 Ene,104,2019,2019-01-04,CUSCO,30
04 Ene,104,2019,2019-01-04,ANCASH,15
04 Ene,104,2019,2019-01-04,TUMBES,2
04 Ene,104,2019,2019-01-04,LA LIBERTAD,30
04 Ene,104,2019,2019-01-04,UCAYALI,5
04 Ene,104,2019,2019-01-04,ICA,15
04 Ene,104,2019,2019-01-04,JUNIN,20
04 Ene,104,2019,2019-01-04,HUANUCO,11
04 Ene,104,2019,2019-01-04,PUNO,21
04 Ene,104,2019,2019-01-04,TACNA,8
04 Ene,104,2019,2019-01-04,SAN MARTIN,7
04 Ene,104,2019,2019-01-04,MOQUEGUA,1
04 Ene,104,2019,2019-01-04,HUANCAVELICA,7
04 Ene,104,2019,2019-01-04,PASCO,1
04 Ene,104,2019,2019-01-04,CAJAMARCA,7
04 Ene,104,2019,2019-01-04,LORETO,3
04 Ene,104,2019,2019-01-04,LIMA,65
04 Ene,104,2019,2019-01-04,EXTRANJERO,3
04 Ene,104,2019,2019-01-04,CALLAO,11
04 Ene,104,2019,2019-01-04,MADRE DE DIOS,3
04 Ene,104,2020,2020-01-04,LA LIBERTAD,24
04 Ene,104,2020,2020-01-04,MADRE DE DIOS,1
04 Ene,104,2020,2020-01-04,EXTRANJERO,3
04 Ene,104,2020,2020-01-04,TACNA,4
04 Ene,104,2020,2020-01-04,CAJAMARCA,10
04 Ene,104,2020,2020-01-04,LORETO,11
04 Ene,104,2020,2020-01-04,PASCO,2
04 Ene,104,2020,2020-01-04,AMAZONAS,3
04 Ene,104,2020,2020-01-04,CALLAO,13
04 Ene,104,2020,2020-01-04,HUANUCO,11
04 Ene,104,2020,2020-01-04,ICA,18
04 Ene,104,2020,2020-01-04,ANCASH,17
04 Ene,104,2020,2020-01-04,PUNO,12
04 Ene,104,2020,2020-01-04,UCAYALI,4
04 Ene,104,2020,2020-01-04,TUMBES,3
04 Ene,104,2020,2020-01-04,SAN MARTIN,11
04 Ene,104,2020,2020-01-04,HUANCAVELICA,4
04 Ene,104,2020,2020-01-04,JUNIN,23
04 Ene,104,2020,2020-01-04,PIURA,17
04 Ene,104,2020,2020-01-04,APURIMAC,5
04 Ene,104,2020,2020-01-04,LIMA,92
04 Ene,104,2020,2020-01-04,MOQUEGUA,2
04 Ene,104,2020,2020-01-04,SIN REGISTRO,1
04 Ene,104,2020,2020-01-04,AREQUIPA,18
04 Ene,104,2020,2020-01-04,LAMBAYEQUE,4
04 Ene,104,2020,2020-01-04,CUSCO,12
04 Ene,104,2020,2020-01-04,AYACUCHO,8
04 Ene,104,2021,2021-01-04,CALLAO,21
04 Ene,104,2021,2021-01-04,APURIMAC,11
04 Ene,104,2021,2021-01-04,LIMA,210
04 Ene,104,2021,2021-01-04,AYACUCHO,5
04 Ene,104,2021,2021-01-04,AREQUIPA,25
04 Ene,104,2021,2021-01-04,CUSCO,24
04 Ene,104,2021,2021-01-04,AMAZONAS,7
04 Ene,104,2021,2021-01-04,ANCASH,27
04 Ene,104,2021,2021-01-04,HUANUCO,14
04 Ene,104,2021,2021-01-04,PUNO,26
04 Ene,104,2021,2021-01-04,LA LIBERTAD,29
04 Ene,104,2021,2021-01-04,ICA,10
04 Ene,104,2021,2021-01-04,MADRE DE DIOS,3
04 Ene,104,2021,2021-01-04,SAN MARTIN,10
04 Ene,104,2021,2021-01-04,PASCO,5
04 Ene,104,2021,2021-01-04,JUNIN,25
04 Ene,104,2021,2021-01-04,TUMBES,2
04 Ene,104,2021,2021-01-04,UCAYALI,7
04 Ene,104,2021,2021-01-04,LORETO,7
04 Ene,104,2021,2021-01-04,TACNA,4
04 Ene,104,2021,2021-01-04,EXTRANJERO,1
04 Ene,104,2021,2021-01-04,CAJAMARCA,17
04 Ene,104,2021,2021-01-04,MOQUEGUA,7
04 Ene,104,2021,2021-01-04,HUANCAVELICA,4
04 Ene,104,2021,2021-01-04,LAMBAYEQUE,15
04 Ene,104,2021,2021-01-04,PIURA,39
04 Ene,104,2021,2021-01-04,SIN REGISTRO,1
05 Ene,105,2017,2017-01-05,TUMBES,3
05 Ene,105,2017,2017-01-05,TACNA,2
05 Ene,105,2017,2017-01-05,UCAYALI,5
