NFECHA,IDX,TheYear,TheDate,CANT,DEPARTAMENTO
04 Ene,104,2017,2017-01-04,8,PIURA
04 Ene,104,2017,2017-01-04,10,PUNO
04 Ene,104,2017,2017-01-04,2,SAN MARTIN
04 Ene,104,2017,2017-01-04,1,SIN REGISTRO
04 Ene,104,2017,2017-01-04,3,TACNA
04 Ene,104,2017,2017-01-04,4,TUMBES
04 Ene,104,2017,2017-01-04,5,UCAYALI
05 Ene,105,2017,2017-01-05,1,AMAZONAS
05 Ene,105,2017,2017-01-05,10,ANCASH
05 Ene,105,2017,2017-01-05,2,APURIMAC
05 Ene,105,2017,2017-01-05,11,AREQUIPA
05 Ene,105,2017,2017-01-05,1,AYACUCHO
05 Ene,105,2017,2017-01-05,7,CAJAMARCA
05 Ene,105,2017,2017-01-05,18,CALLAO
05 Ene,105,2017,2017-01-05,6,CUSCO
05 Ene,105,2017,2017-01-05,0,EXTRANJERO
05 Ene,105,2017,2017-01-05,2,HUANCAVELICA
05 Ene,105,2017,2017-01-05,10,HUANUCO
05 Ene,105,2017,2017-01-05,5,ICA
05 Ene,105,2017,2017-01-05,10,JUNIN
05 Ene,105,2017,2017-01-05,14,LA LIBERTAD
05 Ene,105,2017,2017-01-05,22,LAMBAYEQUE
05 Ene,105,2017,2017-01-05,56,LIMA
05 Ene,105,2017,2017-01-05,9,LORETO
05 Ene,105,2017,2017-01-05,1,MADRE DE DIOS
05 Ene,105,2017,2017-01-05,0,MOQUEGUA
05 Ene,105,2017,2017-01-05,2,PASCO
05 Ene,105,2017,2017-01-05,5,PIURA
05 Ene,105,2017,2017-01-05,6,PUNO
05 Ene,105,2017,2017-01-05,3,SAN MARTIN
05 Ene,105,2017,2017-01-05,1,SIN REGISTRO
05 Ene,105,2017,2017-01-05,2,TACNA
05 Ene,105,2017,2017-01-05,3,TUMBES
05 Ene,105,2017,2017-01-05,5,UCAYALI
06 Ene,106,2017,2017-01-06,1,AMAZONAS
06 Ene,106,2017,2017-01-06,19,ANCASH
06 Ene,106,2017,2017-01-06,0,APURIMAC
06 Ene,106,2017,2017-01-06,9,AREQUIPA
06 Ene,106,2017,2017-01-06,2,AYACUCHO
06 Ene,106,2017,2017-01-06,4,CAJAMARCA
06 Ene,106,2017,2017-01-06,6,CALLAO
06 Ene,106,2017,2017-01-06,15,CUSCO
06 Ene,106,2017,2017-01-06,0,EXTRANJERO
06 Ene,106,2017,2017-01-06,3,HUANCAVELICA
06 Ene,106,2017,2017-01-06,2,HUANUCO
06 Ene,106,2017,2017-01-06,11,ICA
06 Ene,106,2017,2017-01-06,6,JUNIN
06 Ene,106,2017,2017-01-06,22,LA LIBERTAD
06 Ene,106,2017,2017-01-06,26,LAMBAYEQUE
06 Ene,106,2017,2017-01-06,59,LIMA
06 Ene,106,2017,2017-01-06,5,LORETO
06 Ene,106,2017,2017-01-06,2,MADRE DE DIOS
06 Ene,106,2017,2017-01-06,1,MOQUEGUA
06 Ene,106,2017,2017-01-06,3,PASCO
06 Ene,106,2017,2017-01-06,9,PIURA
06 Ene,106,2017,2017-01-06,5,PUNO
06 Ene,106,2017,2017-01-06,5,SAN MARTIN
06 Ene,106,2017,2017-01-06,1,SIN REGISTRO
06 Ene,106,2017,2017-01-06,5,TACNA
06 Ene,106,2017,2017-01-06,2,TUMBES
06 Ene,106,2017,2017-01-06,6,UCAYALI
07 Ene,107,2017,2017-01-07,0,AMAZONAS
07 Ene,107,2017,2017-01-07,7,ANCASH
07 Ene,107,2017,2017-01-07,5,APURIMAC
07 Ene,107,2017,2017-01-07,15,AREQUIPA
07 Ene,107,2017,2017-01-07,2,AYACUCHO
07 Ene,107,2017,2017-01-07,4,CAJAMARCA
07 Ene,107,2017,2017-01-07,7,CALLAO
07 Ene,107,2017,2017-01-07,13,CUSCO
07 Ene,107,2017,2017-01-07,0,EXTRANJERO
07 Ene,107,2017,2017-01-07,3,HUANCAVELICA
07 Ene,107,2017,2017-01-07,13,HUANUCO
07 Ene,107,2017,2017-01-07,9,ICA
07 Ene,107,2017,2017-01-07,8,JUNIN
07 Ene,107,2017,2017-01-07,17,LA LIBERTAD
07 Ene,107,2017,2017-01-07,27,LAMBAYEQUE
07 Ene,107,2017,2017-01-07,54,LIMA
07 Ene,107,2017,2017-01-07,2,LORETO
07 Ene,107,2017,2017-01-07,3,MADRE DE DIOS
07 Ene,107,2017,2017-01-07,1,MOQUEGUA
07 Ene,107,2017,2017-01-07,3,PASCO
07 Ene,107,2017,2017-01-07,9,PIURA
07 Ene,107,2017,2017-01-07,11,PUNO
07 Ene,107,2017,2017-01-07,5,SAN MARTIN
07 Ene,107,2017,2017-01-07,0,SIN REGISTRO
07 Ene,107,2017,2017-01-07,5,TACNA
07 Ene,107,2017,2017-01-07,1,TUMBES
07 Ene,107,2017,2017-01-07,4,UCAYALI
08 Ene,108,2017,2017-01-08,3,AMAZONAS
08 Ene,108,2017,2017-01-08,7,ANCASH
08 Ene,108,2017,2017-01-08,3,APURIMAC
08 Ene,108,2017,2017-01-08,14,AREQUIPA
08 Ene,108,2017,2017-01-08,1,AYACUCHO
08 Ene,108,2017,2017-01-08,8,CAJAMARCA
08 Ene,108,2017,2017-01-08,8,CALLAO
08 Ene,108,2017,2017-01-08,5,CUSCO
08 Ene,108,2017,2017-01-08,0,EXTRANJERO
08 Ene,108,2017,2017-01-08,1,HUANCAVELICA
08 Ene,108,2017,2017-01-08,8,HUANUCO
08 Ene,108,2017,2017-01-08,6,ICA
08 Ene,108,2017,2017-01-08,14,JUNIN
08 Ene,108,2017,2017-01-08,20,LA LIBERTAD
08 Ene,108,2017,2017-01-08,17,LAMBAYEQUE
08 Ene,108,2017,2017-01-08,64,LIMA
08 Ene,108,2017,2017-01-08,15,LORETO
08 Ene,108,2017,2017-01-08,0,MADRE DE DIOS
08 Ene,108,2017,2017-01-08,2,MOQUEGUA
08 Ene,108,2017,2017-01-08,2,PASCO
08 Ene,108,2017,2017-01-08,6,PIURA
08 Ene,108,2017,2017-01-08,14,PUNO
08 Ene,108,2017,2017-01-08,1,SAN MARTIN
08 Ene,108,2017,2017-01-08,1,SIN REGISTRO
08 Ene,108,2017,2017-01-08,3,TACNA
08 Ene,108,2017,2017-01-08,1,TUMBES
08 Ene,108,2017,2017-01-08,6,UCAYALI
09 Ene,109,2017,2017-01-09,1,AMAZONAS
09 Ene,109,2017,2017-01-09,7,ANCASH
09 Ene,109,2017,2017-01-09,0,APURIMAC
09 Ene,109,2017,2017-01-09,13,AREQUIPA
09 Ene,109,2017,2017-01-09,1,AYACUCHO
09 Ene,109,2017,2017-01-09,5,CAJAMARCA
09 Ene,109,2017,2017-01-09,8,CALLAO
09 Ene,109,2017,2017-01-09,8,CUSCO
09 Ene,109,2017,2017-01-09,0,EXTRANJERO
09 Ene,109,2017,2017-01-09,3,HUANCAVELICA
09 Ene,109,2017,2017-01-09,3,HUANUCO
09 Ene,109,2017,2017-01-09,10,ICA
09 Ene,109,2017,2017-01-09,13,JUNIN
09 Ene,109,2017,2017-01-09,20,LA LIBERTAD
09 Ene,109,2017,2017-01-09,22,LAMBAYEQUE
09 Ene,109,2017,2017-01-09,56,LIMA
09 Ene,109,2017,2017-01-09,6,LORETO
09 Ene,109,2017,2017-01-09,0,MADRE DE DIOS
09 Ene,109,2017,2017-01-09,3,MOQUEGUA
09 Ene,109,2017,2017-01-09,4,PASCO
09 Ene,109,2017,2017-01-09,7,PIURA
09 Ene,109,2017,2017-01-09,15,PUNO
09 Ene,109,2017,2017-01-09,7,SAN MARTIN
09 Ene,109,2017,2017-01-09,0,SIN REGISTRO
09 Ene,109,2017,2017-01-09,1,TACNA
09 Ene,109,2017,2017-01-09,4,TUMBES
09 Ene,109,2017,2017-01-09,4,UCAYALI
10 Ene,110,2017,2017-01-10,2,AMAZONAS
10 Ene,110,2017,2017-01-10,9,ANCASH
10 Ene,110,2017,2017-01-10,2,APURIMAC
10 Ene,110,2017,2017-01-10,18,AREQUIPA
10 Ene,110,2017,2017-01-10,1,AYACUCHO
10 Ene,110,2017,2017-01-10,6,CAJAMARCA
10 Ene,110,2017,2017-01-10,15,CALLAO
10 Ene,110,2017,2017-01-10,17,CUSCO
10 Ene,110,2017,2017-01-10,0,EXTRANJERO
10 Ene,110,2017,2017-01-10,6,HUANCAVELICA
10 Ene,110,2017,2017-01-10,6,HUANUCO
10 Ene,110,2017,2017-01-10,9,ICA
10 Ene,110,2017,2017-01-10,8,JUNIN
10 Ene,110,2017,2017-01-10,16,LA LIBERTAD
10 Ene,110,2017,2017-01-10,17,LAMBAYEQUE
10 Ene,110,2017,2017-01-10,67,LIMA
10 Ene,110,2017,2017-01-10,4,LORETO
10 Ene,110,2017,2017-01-10,1,MADRE DE DIOS
10 Ene,110,2017,2017-01-10,1,MOQUEGUA
10 Ene,110,2017,2017-01-10,5,PASCO
10 Ene,110,2017,2017-01-10,10,PIURA
10 Ene,110,2017,2017-01-10,6,PUNO
10 Ene,110,2017,2017-01-10,5,SAN MARTIN
10 Ene,110,2017,2017-01-10,0,SIN REGISTRO
10 Ene,110,2017,2017-01-10,3,TACNA
10 Ene,110,2017,2017-01-10,1,TUMBES
10 Ene,110,2017,2017-01-10,6,UCAYALI
11 Ene,111,2017,2017-01-11,0,AMAZONAS
11 Ene,111,2017,2017-01-11,8,ANCASH
11 Ene,111,2017,2017-01-11,1,APURIMAC
11 Ene,111,2017,2017-01-11,9,AREQUIPA
11 Ene,111,2017,2017-01-11,1,AYACUCHO
11 Ene,111,2017,2017-01-11,4,CAJAMARCA
11 Ene,111,2017,2017-01-11,15,CALLAO
11 Ene,111,2017,2017-01-11,10,CUSCO
11 Ene,111,2017,2017-01-11,0,EXTRANJERO
11 Ene,111,2017,2017-01-11,4,HUANCAVELICA
11 Ene,111,2017,2017-01-11,5,HUANUCO
11 Ene,111,2017,2017-01-11,13,ICA
11 Ene,111,2017,2017-01-11,12,JUNIN
11 Ene,111,2017,2017-01-11,13,LA LIBERTAD
11 Ene,111,2017,2017-01-11,17,LAMBAYEQUE
11 Ene,111,2017,2017-01-11,69,LIMA
11 Ene,111,2017,2017-01-11,4,LORETO
11 Ene,111,2017,2017-01-11,4,MADRE DE DIOS
11 Ene,111,2017,2017-01-11,3,MOQUEGUA
11 Ene,111,2017,2017-01-11,2,PASCO
11 Ene,111,2017,2017-01-11,8,PIURA
11 Ene,111,2017,2017-01-11,14,PUNO
11 Ene,111,2017,2017-01-11,6,SAN MARTIN
11 Ene,111,2017,2017-01-11,0,SIN REGISTRO
11 Ene,111,2017,2017-01-11,1,TACNA
11 Ene,111,2017,2017-01-11,3,TUMBES
11 Ene,111,2017,2017-01-11,2,UCAYALI
12 Ene,112,2017,2017-01-12,2,AMAZONAS
12 Ene,112,2017,2017-01-12,9,ANCASH
12 Ene,112,2017,2017-01-12,4,APURIMAC
12 Ene,112,2017,2017-01-12,9,AREQUIPA
12 Ene,112,2017,2017-01-12,1,AYACUCHO
12 Ene,112,2017,2017-01-12,12,CAJAMARCA
12 Ene,112,2017,2017-01-12,14,CALLAO
12 Ene,112,2017,2017-01-12,16,CUSCO
12 Ene,112,2017,2017-01-12,1,EXTRANJERO
12 Ene,112,2017,2017-01-12,1,HUANCAVELICA
12 Ene,112,2017,2017-01-12,8,HUANUCO
12 Ene,112,2017,2017-01-12,8,ICA
12 Ene,112,2017,2017-01-12,9,JUNIN
12 Ene,112,2017,2017-01-12,21,LA LIBERTAD
12 Ene,112,2017,2017-01-12,20,LAMBAYEQUE
12 Ene,112,2017,2017-01-12,76,LIMA
12 Ene,112,2017,2017-01-12,6,LORETO
12 Ene,112,2017,2017-01-12,0,MADRE DE DIOS
12 Ene,112,2017,2017-01-12,6,MOQUEGUA
12 Ene,112,2017,2017-01-12,1,PASCO
12 Ene,112,2017,2017-01-12,11,PIURA
12 Ene,112,2017,2017-01-12,7,PUNO
12 Ene,112,2017,2017-01-12,2,SAN MARTIN
12 Ene,112,2017,2017-01-12,0,SIN REGISTRO
12 Ene,112,2017,2017-01-12,2,TACNA
12 Ene,112,2017,2017-01-12,1,TUMBES
12 Ene,112,2017,2017-01-12,3,UCAYALI
13 Ene,113,2017,2017-01-13,2,AMAZONAS
13 Ene,113,2017,2017-01-13,6,ANCASH
13 Ene,113,2017,2017-01-13,1,APURIMAC
13 Ene,113,2017,2017-01-13,11,AREQUIPA
13 Ene,113,2017,2017-01-13,1,AYACUCHO
13 Ene,113,2017,2017-01-13,6,CAJAMARCA
13 Ene,113,2017,2017-01-13,10,CALLAO
13 Ene,113,2017,2017-01-13,12,CUSCO
13 Ene,113,2017,2017-01-13,1,EXTRANJERO
13 Ene,113,2017,2017-01-13,5,HUANCAVELICA
13 Ene,113,2017,2017-01-13,11,HUANUCO
13 Ene,113,2017,2017-01-13,8,ICA
13 Ene,113,2017,2017-01-13,10,JUNIN
13 Ene,113,2017,2017-01-13,23,LA LIBERTAD
13 Ene,113,2017,2017-01-13,23,LAMBAYEQUE
13 Ene,113,2017,2017-01-13,76,LIMA
13 Ene,113,2017,2017-01-13,3,LORETO
13 Ene,113,2017,2017-01-13,1,MADRE DE DIOS
13 Ene,113,2017,2017-01-13,3,MOQUEGUA
13 Ene,113,2017,2017-01-13,4,PASCO
13 Ene,113,2017,2017-01-13,6,PIURA
13 Ene,113,2017,2017-01-13,12,PUNO
13 Ene,113,2017,2017-01-13,5,SAN MARTIN
13 Ene,113,2017,2017-01-13,2,SIN REGISTRO
13 Ene,113,2017,2017-01-13,0,TACNA
13 Ene,113,2017,2017-01-13,2,TUMBES
13 Ene,113,2017,2017-01-13,3,UCAYALI
14 Ene,114,2017,2017-01-14,3,AMAZONAS
14 Ene,114,2017,2017-01-14,11,ANCASH
14 Ene,114,2017,2017-01-14,2,APURIMAC
14 Ene,114,2017,2017-01-14,12,AREQUIPA
14 Ene,114,2017,2017-01-14,0,AYACUCHO
14 Ene,114,2017,2017-01-14,6,CAJAMARCA
14 Ene,114,2017,2017-01-14,14,CALLAO
14 Ene,114,2017,2017-01-14,11,CUSCO
14 Ene,114,2017,2017-01-14,0,EXTRANJERO
14 Ene,114,2017,2017-01-14,2,HUANCAVELICA
14 Ene,114,2017,2017-01-14,11,HUANUCO
14 Ene,114,2017,2017-01-14,11,ICA
14 Ene,114,2017,2017-01-14,7,JUNIN
14 Ene,114,2017,2017-01-14,18,LA LIBERTAD
14 Ene,114,2017,2017-01-14,18,LAMBAYEQUE
14 Ene,114,2017,2017-01-14,83,LIMA
14 Ene,114,2017,2017-01-14,6,LORETO
14 Ene,114,2017,2017-01-14,3,MADRE DE DIOS
14 Ene,114,2017,2017-01-14,4,MOQUEGUA
14 Ene,114,2017,2017-01-14,0,PASCO
14 Ene,114,2017,2017-01-14,7,PIURA
14 Ene,114,2017,2017-01-14,12,PUNO
14 Ene,114,2017,2017-01-14,2,SAN MARTIN
14 Ene,114,2017,2017-01-14,1,SIN REGISTRO
14 Ene,114,2017,2017-01-14,2,TACNA
14 Ene,114,2017,2017-01-14,0,TUMBES
14 Ene,114,2017,2017-01-14,6,UCAYALI
15 Ene,115,2017,2017-01-15,3,AMAZONAS
15 Ene,115,2017,2017-01-15,8,ANCASH
15 Ene,115,2017,2017-01-15,4,APURIMAC
15 Ene,115,2017,2017-01-15,16,AREQUIPA
15 Ene,115,2017,2017-01-15,0,AYACUCHO
15 Ene,115,2017,2017-01-15,4,CAJAMARCA
15 Ene,115,2017,2017-01-15,9,CALLAO
15 Ene,115,2017,2017-01-15,12,CUSCO
15 Ene,115,2017,2017-01-15,0,EXTRANJERO
15 Ene,115,2017,2017-01-15,3,HUANCAVELICA
15 Ene,115,2017,2017-01-15,9,HUANUCO
15 Ene,115,2017,2017-01-15,11,ICA
15 Ene,115,2017,2017-01-15,6,JUNIN
15 Ene,115,2017,2017-01-15,19,LA LIBERTAD
15 Ene,115,2017,2017-01-15,23,LAMBAYEQUE
15 Ene,115,2017,2017-01-15,61,LIMA
15 Ene,115,2017,2017-01-15,3,LORETO
15 Ene,115,2017,2017-01-15,1,MADRE DE DIOS
15 Ene,115,2017,2017-01-15,2,MOQUEGUA
15 Ene,115,2017,2017-01-15,0,PASCO
15 Ene,115,2017,2017-01-15,9,PIURA
15 Ene,115,2017,2017-01-15,13,PUNO
15 Ene,115,2017,2017-01-15,4,SAN MARTIN
15 Ene,115,2017,2017-01-15,2,SIN REGISTRO
15 Ene,115,2017,2017-01-15,4,TACNA
15 Ene,115,2017,2017-01-15,3,TUMBES
15 Ene,115,2017,2017-01-15,4,UCAYALI
16 Ene,116,2017,2017-01-16,0,AMAZONAS
16 Ene,116,2017,2017-01-16,9,ANCASH
16 Ene,116,2017,2017-01-16,5,APURIMAC
16 Ene,116,2017,2017-01-16,8,AREQUIPA
16 Ene,116,2017,2017-01-16,2,AYACUCHO
16 Ene,116,2017,2017-01-16,11,CAJAMARCA
16 Ene,116,2017,2017-01-16,9,CALLAO
16 Ene,116,2017,2017-01-16,13,CUSCO
16 Ene,116,2017,2017-01-16,1,EXTRANJERO
16 Ene,116,2017,2017-01-16,7,HUANCAVELICA
16 Ene,116,2017,2017-01-16,8,HUANUCO
16 Ene,116,2017,2017-01-16,7,ICA
16 Ene,116,2017,2017-01-16,11,JUNIN
16 Ene,116,2017,2017-01-16,18,LA LIBERTAD
16 Ene,116,2017,2017-01-16,18,LAMBAYEQUE
16 Ene,116,2017,2017-01-16,77,LIMA
